doc_id,domain,char_length,word_count,sentence_count,title_length,title,entity_count,relation_count
Academic_disciplines_0,Unknown,0,0,0,26,Anthropocene_Working_Group,22,22
Academic_disciplines_1,Unknown,0,0,0,15,Applied_history,28,17
Academic_disciplines_2,Unknown,0,0,0,22,Bolognese_bell_ringing,18,11
Academic_disciplines_3,Unknown,0,0,0,22,Cylinder_Audio_Archive,17,10
Academic_disciplines_4,Unknown,0,0,0,14,Drug_education,18,14
Academic_disciplines_5,Unknown,0,0,0,21,Environmental_studies,36,30
Academic_disciplines_6,Unknown,0,0,0,64,Essay_on_a_Course_of_Liberal_Education_for_Civil_and_Active_Life,6,5
Academic_disciplines_7,Unknown,0,0,0,17,Legal_archaeology,8,7
Academic_disciplines_8,Unknown,0,0,0,17,Literary_nonsense,38,13
Academic_disciplines_10,Unknown,0,0,0,20,Philosophy_of_design,8,4
Academic_disciplines_11,Unknown,0,0,0,18,The_Art_Assignment,49,30
Academic_disciplines_12,Unknown,0,0,0,24,The_Problems_of_Genocide,34,21
Academic_disciplines_13,Unknown,0,0,0,19,The_Sexual_Contract,9,8
Academic_disciplines_14,Unknown,0,0,0,13,Xanadu_Houses,24,20
Academic_disciplines_15,Unknown,0,0,0,13,Yessiey_Award,13,10
Business_0,Unknown,0,0,0,26,Application_for_employment,19,9
Business_1,Unknown,0,0,0,22,Blame_in_organizations,10,9
Business_2,Unknown,0,0,0,21,Business_architecture,45,30
Business_3,Unknown,0,0,0,25,Communities_of_innovation,24,14
Business_4,Unknown,0,0,0,7,Company,7,2
Business_5,Unknown,0,0,0,19,Desktop_outsourcing,6,13
Business_6,Unknown,0,0,0,28,Global_Entrepreneurship_Week,30,25
Business_7,Unknown,0,0,0,11,News_values,58,52
Business_8,Unknown,0,0,0,24,Road_warrior_(computing),12,8
Business_9,Unknown,0,0,0,7,Vanpool,30,9
Culture_0,Unknown,0,0,0,17,Artificial_plants,92,64
Culture_1,Unknown,0,0,0,19,Born_Sexy_Yesterday,43,13
Culture_2,Unknown,0,0,0,18,Civilization_state,19,14
Culture_3,Unknown,0,0,0,19,Clothing_physiology,9,4
Culture_4,Unknown,0,0,0,17,Consensus_reality,7,4
Culture_5,Unknown,0,0,0,33,John_Hopkins_(political_activist),39,21
Culture_6,Unknown,0,0,0,11,Pet_culture,105,10
Culture_7,Unknown,0,0,0,11,Repurposing,21,16
Culture_8,Unknown,0,0,0,18,The_Triple_Package,58,33
Culture_9,Unknown,0,0,0,4,Xeer,9,19
Economy_0,Unknown,0,0,0,19,Bare_minimum_Monday,3,8
Economy_1,Unknown,0,0,0,25,Central_bank_independence,3,6
Economy_2,Unknown,0,0,0,16,Consumer_economy,36,5
Economy_3,Unknown,0,0,0,18,Consumer_education,9,13
Economy_4,Unknown,0,0,0,12,Data_culture,27,16
Economy_5,Unknown,0,0,0,19,Economic_consulting,65,81
Economy_6,Unknown,0,0,0,7,Economy,11,4
Economy_7,Unknown,0,0,0,13,Law_of_supply,26,6
Economy_8,Unknown,0,0,0,15,Necrocapitalism,12,8
Economy_9,Unknown,0,0,0,11,New_economy,69,65
