doc_id,domain,char_length,word_count,sentence_count,title_length,title,entity_count,relation_count
Academic_disciplines_0,Unknown,0,0,0,26,Anthropocene_Working_Group,53,61
Academic_disciplines_1,Unknown,0,0,0,15,Applied_history,54,52
Academic_disciplines_2,Unknown,0,0,0,22,Bolognese_bell_ringing,33,31
Academic_disciplines_3,Unknown,0,0,0,22,Cylinder_Audio_Archive,25,30
Academic_disciplines_4,Unknown,0,0,0,14,Drug_education,42,38
Academic_disciplines_5,Unknown,0,0,0,21,Environmental_studies,71,57
Academic_disciplines_6,Unknown,0,0,0,64,Essay_on_a_Course_of_Liberal_Education_for_Civil_and_Active_Life,23,31
Academic_disciplines_7,Unknown,0,0,0,17,Legal_archaeology,22,18
Academic_disciplines_8,Unknown,0,0,0,17,Literary_nonsense,64,63
Academic_disciplines_10,Unknown,0,0,0,20,Philosophy_of_design,15,14
Academic_disciplines_11,Unknown,0,0,0,18,The_Art_Assignment,59,93
Academic_disciplines_12,Unknown,0,0,0,24,The_Problems_of_Genocide,46,46
Academic_disciplines_13,Unknown,0,0,0,19,The_Sexual_Contract,23,29
Academic_disciplines_14,Unknown,0,0,0,13,Xanadu_Houses,51,41
Academic_disciplines_15,Unknown,0,0,0,13,Yessiey_Award,23,28
Business_0,Unknown,0,0,0,26,Application_for_employment,40,27
Business_1,Unknown,0,0,0,22,Blame_in_organizations,51,41
Business_2,Unknown,0,0,0,21,Business_architecture,70,58
Business_3,Unknown,0,0,0,25,Communities_of_innovation,62,63
Business_4,Unknown,0,0,0,7,Company,52,38
Business_5,Unknown,0,0,0,19,Desktop_outsourcing,43,43
Business_6,Unknown,0,0,0,28,Global_Entrepreneurship_Week,53,61
Business_7,Unknown,0,0,0,11,News_values,86,78
Business_8,Unknown,0,0,0,24,Road_warrior_(computing),24,20
Business_9,Unknown,0,0,0,7,Vanpool,55,29
Culture_0,Unknown,0,0,0,17,Artificial_plants,82,87
Culture_1,Unknown,0,0,0,19,Born_Sexy_Yesterday,71,44
Culture_2,Unknown,0,0,0,18,Civilization_state,38,42
Culture_3,Unknown,0,0,0,19,Clothing_physiology,13,12
Culture_4,Unknown,0,0,0,17,Consensus_reality,27,14
Culture_5,Unknown,0,0,0,33,John_Hopkins_(political_activist),70,42
Culture_6,Unknown,0,0,0,11,Pet_culture,142,50
Culture_7,Unknown,0,0,0,11,Repurposing,35,41
Culture_8,Unknown,0,0,0,18,The_Triple_Package,75,63
Culture_9,Unknown,0,0,0,4,Xeer,33,35
Economy_0,Unknown,0,0,0,19,Bare_minimum_Monday,19,18
Economy_1,Unknown,0,0,0,25,Central_bank_independence,13,18
Economy_2,Unknown,0,0,0,16,Consumer_economy,73,38
Economy_3,Unknown,0,0,0,18,Consumer_education,45,45
Economy_4,Unknown,0,0,0,12,Data_culture,42,41
Economy_5,Unknown,0,0,0,19,Economic_consulting,105,92
Economy_6,Unknown,0,0,0,7,Economy,61,35
Economy_7,Unknown,0,0,0,13,Law_of_supply,59,38
Economy_8,Unknown,0,0,0,15,Necrocapitalism,19,28
Economy_9,Unknown,0,0,0,11,New_economy,88,80
Economy_10,Unknown,0,0,0,29,Primary_sector_of_the_economy,42,43
Economy_11,Unknown,0,0,0,17,Registered_office,22,25
Economy_12,Unknown,0,0,0,17,Sabbath_economics,23,25
Economy_13,Unknown,0,0,0,12,Silent_trade,44,41
Engineering_1,Unknown,0,0,0,18,Amasa_Stone_Bishop,59,51
Engineering_0,Unknown,0,0,0,7,ARP4761,42,35
Engineering_2,Unknown,0,0,0,17,Bug_(engineering),39,25
Engineering_3,Unknown,0,0,0,19,Gravimetric_blender,28,32
Engineering_4,Unknown,0,0,0,24,Engineering_technologist,62,46
Engineering_5,Unknown,0,0,0,22,History_of_engineering,128,59
Engineering_6,Unknown,0,0,0,53,History_of_women_in_engineering_in_the_United_Kingdom,145,84
Engineering_7,Unknown,0,0,0,28,Mineral_Products_Association,36,46
Engineering_8,Unknown,0,0,0,33,Pressure_Equipment_Directive_(EU),28,24
Engineering_9,Unknown,0,0,0,15,Resilience_week,30,40
Engineering_10,Unknown,0,0,0,33,Social_construction_of_technology,48,41
Engineering_11,Unknown,0,0,0,55,"Tests_of_Engineering_Aptitude,_Mathematics,_and_Science",29,24
Engineering_12,Unknown,0,0,0,31,Washington_Accord_(credentials),40,87
Food_and_drink_0,Unknown,0,0,0,7,Custard,80,58
Food_and_drink_1,Unknown,0,0,0,23,Dairy_in_the_New_Garden,33,32
Food_and_drink_2,Unknown,0,0,0,8,Drinking,40,20
Food_and_drink_3,Unknown,0,0,0,10,Energy_gel,29,34
Food_and_drink_4,Unknown,0,0,0,16,Food_engineering,137,78
Food_and_drink_5,Unknown,0,0,0,9,Irreechaa,47,52
Food_and_drink_6,Unknown,0,0,0,6,Liquor,63,62
Food_and_drink_7,Unknown,0,0,0,21,Night_of_the_Radishes,46,44
