doc_id,domain,char_length,word_count,sentence_count,title_length,title,entity_count,relation_count
Academic_disciplines_0,Unknown,0,0,0,26,Anthropocene_Working_Group,29,20
Academic_disciplines_1,Unknown,0,0,0,15,Applied_history,22,15
Academic_disciplines_2,Unknown,0,0,0,22,Bolognese_bell_ringing,14,12
Academic_disciplines_3,Unknown,0,0,0,22,Cylinder_Audio_Archive,13,11
Academic_disciplines_4,Unknown,0,0,0,14,Drug_education,18,12
Academic_disciplines_5,Unknown,0,0,0,21,Environmental_studies,45,16
Academic_disciplines_6,Unknown,0,0,0,64,Essay_on_a_Course_of_Liberal_Education_for_Civil_and_Active_Life,17,17
Academic_disciplines_7,Unknown,0,0,0,17,Legal_archaeology,11,6
Academic_disciplines_8,Unknown,0,0,0,17,Literary_nonsense,44,42
Academic_disciplines_10,Unknown,0,0,0,20,Philosophy_of_design,8,6
Academic_disciplines_11,Unknown,0,0,0,18,The_Art_Assignment,42,44
Academic_disciplines_12,Unknown,0,0,0,24,The_Problems_of_Genocide,31,18
Academic_disciplines_13,Unknown,0,0,0,19,The_Sexual_Contract,14,8
Academic_disciplines_14,Unknown,0,0,0,13,Xanadu_Houses,25,11
Academic_disciplines_15,Unknown,0,0,0,13,Yessiey_Award,12,9
Business_0,Unknown,0,0,0,26,Application_for_employment,11,9
Business_1,Unknown,0,0,0,22,Blame_in_organizations,22,19
Business_2,Unknown,0,0,0,21,Business_architecture,25,11
Business_3,Unknown,0,0,0,25,Communities_of_innovation,45,25
Business_4,Unknown,0,0,0,7,Company,24,17
Business_5,Unknown,0,0,0,19,Desktop_outsourcing,27,16
Business_6,Unknown,0,0,0,28,Global_Entrepreneurship_Week,28,25
Business_7,Unknown,0,0,0,11,News_values,16,10
Business_8,Unknown,0,0,0,24,Road_warrior_(computing),13,9
Business_9,Unknown,0,0,0,7,Vanpool,24,13
Culture_0,Unknown,0,0,0,17,Artificial_plants,33,13
Culture_1,Unknown,0,0,0,19,Born_Sexy_Yesterday,45,14
Culture_2,Unknown,0,0,0,18,Civilization_state,21,13
Culture_3,Unknown,0,0,0,19,Clothing_physiology,9,7
Culture_4,Unknown,0,0,0,17,Consensus_reality,15,7
Culture_5,Unknown,0,0,0,33,John_Hopkins_(political_activist),46,11
Culture_6,Unknown,0,0,0,11,Pet_culture,39,31
Culture_7,Unknown,0,0,0,11,Repurposing,21,18
Culture_8,Unknown,0,0,0,18,The_Triple_Package,37,20
Culture_9,Unknown,0,0,0,4,Xeer,14,11
Economy_0,Unknown,0,0,0,19,Bare_minimum_Monday,10,8
